pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
3223,656555,Rhys Hoskins,3223,100,0.226,0.228,0.267,0.454,0.351,0.342,0.221,129,570,85.8,24.3,2293,88.9,88.56,293,1264,0.231803797,1948,-0.3,6.04,108,152,118,145,302,328,300
3048,660670,Ronald Acuna Jr.,3048,100,0.28,0.238,0.337,0.518,0.373,0.387,0.279,175,626,83.9,16.8,2263,89.8,89.56,384,1386,0.277056277,1652,-0.2,6.01,109,153,116,146,313,328,296
2965,543760,Marcus Semien,2965,100,0.285,0.237,0.294,0.522,0.377,0.362,0.275,187,657,84.6,18.3,2279,88.1,87.69,229,1248,0.18349359,1713,-0.4,5.95,108,152,115,145,301,321,291
2915,608324,Alex Bregman,2915,100,0.296,0.296,0.281,0.592,0.423,0.378,0.272,164,554,85.1,21.1,2234,88.7,88.2,146,1022,0.142857143,1883,-0.5,5.98,106,151,119,145,296,326,292
2909,605141,Mookie Betts,2909,100,0.295,0.229,0.309,0.524,0.384,0.408,0.311,176,597,86.6,21.9,2262,89.2,88.82,162,1115,0.14529148,1790,-0.4,6,107,152,119,145,293,327,300
2888,502671,Paul Goldschmidt,2888,100,0.26,0.216,0.303,0.476,0.35,0.361,0.262,155,597,85,18.7,2270,88.7,88.37,353,1342,0.263040238,1544,-0.3,6.02,108,151,120,146,311,328,301
2862,593428,Xander Bogaerts,2862,100,0.309,0.246,0.338,0.555,0.394,0.358,0.28,190,614,86.1,15.3,2261,88.5,88.14,246,1176,0.209183673,1684,-0.4,6.01,107,152,119,146,293,326,298
2843,542340,Jonathan Villar,2843,100,0.274,0.179,0.341,0.453,0.339,0.313,0.249,176,642,82.8,13.6,2206,89,88.67,386,1398,0.276108727,1423,-0.3,6.02,108,148,104,148,292,320,297
2805,656305,Matt Chapman,2805,100,0.249,0.257,0.27,0.506,0.359,0.36,0.255,145,583,86.2,21.2,2291,88.7,88.27,279,1177,0.237043331,1617,-0.4,5.95,106,151,119,145,304,325,297
2793,467793,Carlos Santana,2793,100,0.281,0.234,0.293,0.515,0.384,0.367,0.268,161,573,86.8,14.2,2207,88.5,88.13,224,1099,0.203821656,1688,-0.4,5.98,113,159,124,148,295,324,300
